item_id,lens,form_variant,q_num,sub_dimension,question_text,item_type,score_max,weight_in_subdim,cross_lens_construct,notes,standalone_indicator
CA-Q9,Community,Audio,9,Impactful,"For those who use the Scripture regularly, how does it impact our emotions?",ordinal-scored,100,1,impact-use,,
CA-Q10,Community,Audio,10,Impactful,"For those who use the Scripture regularly, how does it impact our behavior or activities?",ordinal-scored,100,1,impact-use,,
CA-Q11,Community,Audio,11,Trust / Open Feedback,"As a group, do we trust this translation?",ordinal-scored,100,1,trust-readiness,,
CA-Q12,Community,Audio,12,Trust / Open Feedback,"If we could improve anything about this translation, what would it be?",open-text,,1,,"Open text — theme-code, do not score.",
CA-Q13,Community,Audio,13,Trust / Open Feedback,Is there anything else we would like to share about this translation?,open-text,,1,,"Open text — theme-code, do not score.",
CV-Q1,Community,Video-Sign,1,Understandable,"As a group, how would we describe how easy or difficult this translation is to understand?",ordinal-scored,100,1,clarity-naturalness,,
CV-Q2,Community,Video-Sign,2,Understandable,"Where we find it difficult, what makes it hard?",multi-problem-scored,100,1,,Multi-select problem. Each checked subtracts from 100. Total 4 problem options.,
CV-Q3,Community,Video-Sign,3,Understandable,How does this translation sound to us?,ordinal-scored,100,1,clarity-naturalness,,
CV-Q4,Community,Video-Sign,4,Appealing — Video/Sign,How do we like the signing?,ordinal-scored,100,1,appeal,,
CV-Q5,Community,Video-Sign,5,Appealing — Video/Sign,"If there are additional visual resources (background, illustrations, maps, subtitles, multiple signers), how do we like them?",ordinal-scored,100,1,appeal,,
CV-Q6,Community,Video-Sign,6,Appealing — Video/Sign,"If you have concerns, what would you improve?",open-text,,1,,"Open text — theme-code, do not score.",
CV-Q7,Community,Video-Sign,7,Impactful,"As a group, how often do we use this translation?",ordinal-scored,100,1,,,
CV-Q8,Community,Video-Sign,8,Impactful,Where do we use this translation?,multi-capability-scored,100,1,impact-use,Multi-select capability — places of use. 'We don't use it' is exclusion.,
CV-Q9,Community,Video-Sign,9,Impactful,"For those who use the Scripture regularly, how does it impact our emotions?",ordinal-scored,100,1,impact-use,,
CV-Q10,Community,Video-Sign,10,Impactful,"For those who use the Scripture regularly, how does it impact our behavior or activities?",ordinal-scored,100,1,impact-use,,
CV-Q11,Community,Video-Sign,11,Trust / Open Feedback,"As a group, do we trust this translation?",ordinal-scored,100,1,trust-readiness,,
CV-Q12,Community,Video-Sign,12,Trust / Open Feedback,"If we could improve anything about this translation, what would it be?",open-text,,1,,"Open text — theme-code, do not score.",
CV-Q13,Community,Video-Sign,13,Trust / Open Feedback,Is there anything else we would like to share about this translation?,open-text,,1,,"Open text — theme-code, do not score.",
CHCC-Q1,Church,Consultant,1,Confidence in the Translation,"Based on your previous work with this translation team, how confident are you that they followed a sound and robust translation process?",ordinal-scored,100,1,,3 ordinal options + don't-know (null).,
CHCC-Q2,Church,Consultant,2,Confidence in the Translation,How confident are you in the translation team's understanding of the meaning of the original text?,ordinal-scored,100,1,source-understanding,,
CHCC-Q3,Church,Consultant,3,Confidence in the Translation,How confident are you in the team's consistency in using key terms throughout the translation?,ordinal-scored,100,1,consistency,,
CHCC-Q4,Church,Consultant,4,Confidence in the Translation,How confident are you that this translation is trustworthy and accurate?,ordinal-scored,100,1,trust-readiness,,
CHCC-Q5,Church,Consultant,5,Readiness,"In your opinion, is this translation ready to be distributed and used widely in church and community?",ordinal-scored,100,1,trust-readiness,,
CHIP-Q1,Church,Involved-Pastor,1,Translation Brief,What type of translation did your community agree upon or expect?,descriptive,,1,translation-brief-alignment,Descriptive. Triangulates with TR-Q2.,
CHIP-Q2,Church,Involved-Pastor,2,Translation Brief,"In your judgment, does this translation reflect that agreed-upon type?",ordinal-scored,100,1,translation-brief-alignment,,
CHIP-Q3,Church,Involved-Pastor,3,Church Involvement,Which Christian denominations or traditions are active in your language area?,descriptive,,1,,Descriptive — provides denominator for Q4.,
CHIP-Q4,Church,Involved-Pastor,4,Church Involvement,How broadly are the denominations in your language area involved in this translation project?,ordinal-scored,100,1,,,
CHIP-Q5,Church,Involved-Pastor,5,Church Involvement,How are church leaders using this translation in their ministry?,ordinal-scored,100,1,impact-use,,
CHIP-Q6,Church,Involved-Pastor,6,Confidence in the Translation,How confident are you that the translation team followed a sound and robust translation process?,ordinal-scored,100,1,,,
CHIP-Q7,Church,Involved-Pastor,7,Confidence in the Translation,How confident are you in the translation team's understanding of the meaning of the original text?,ordinal-scored,100,1,source-understanding,,
CHIP-Q8,Church,Involved-Pastor,8,Affirmation,"Does this translation use language that is clear, natural, and understandable?",ordinal-scored,100,1,clarity-naturalness,,
CHIP-Q9,Church,Involved-Pastor,9,Affirmation,Does this translation use language that is beautiful and appealing?,ordinal-scored,100,1,appeal,,
CHIP-Q10,Church,Involved-Pastor,10,Affirmation,"In your judgment, is this translation ready to be distributed and used widely in church and community?",ordinal-scored,100,1,trust-readiness,,
CHCP-Q1,Church,Community-Pastor,1,Translation Brief,What type of translation did your community agree upon or expect?,descriptive,,1,translation-brief-alignment,Descriptive. Triangulates with TR-Q2.,
CHCP-Q2,Church,Community-Pastor,2,Translation Brief,"In your judgment, does this translation reflect that agreed-upon type?",ordinal-scored,100,1,translation-brief-alignment,,
CHCP-Q3,Church,Community-Pastor,3,Church Involvement,Which Christian denominations or traditions are active in your language area?,descriptive,,1,,Descriptive — provides denominator for Q4.,
CHCP-Q4,Church,Community-Pastor,4,Church Involvement,How broadly are the denominations in your language area involved in this translation project?,ordinal-scored,100,1,,,
CHCP-Q5,Church,Community-Pastor,5,Church Involvement,How are church leaders using this translation in their ministry?,ordinal-scored,100,1,impact-use,,
CHCP-Q6,Church,Community-Pastor,6,Confidence in the Translation,How confident are you that the translation team followed a sound and robust translation process?,ordinal-scored,100,1,,,
CHCP-Q7,Church,Community-Pastor,7,Confidence in the Translation,How confident are you in the translation team's understanding of the meaning of the original text?,ordinal-scored,100,1,source-understanding,,
CHCP-Q8,Church,Community-Pastor,8,Affirmation,"Does this translation use language that is clear, natural, and understandable?",ordinal-scored,100,1,clarity-naturalness,,
CHCP-Q9,Church,Community-Pastor,9,Affirmation,Does this translation use language that is beautiful and appealing?,ordinal-scored,100,1,appeal,,
CHCP-Q10,Church,Community-Pastor,10,Affirmation,"In your judgment, is this translation ready to be distributed and used widely in church and community?",ordinal-scored,100,1,trust-readiness,,
CHDL-Q1,Church,Denom-Leader,1,Translation Brief,What type of translation did your community agree upon or expect?,descriptive,,1,translation-brief-alignment,Descriptive. Triangulates with TR-Q2.,
CHDL-Q2,Church,Denom-Leader,2,Translation Brief,"In your judgment, does this translation reflect that agreed-upon type?",ordinal-scored,100,1,translation-brief-alignment,,
CHDL-Q3,Church,Denom-Leader,3,Church Involvement,Which Christian denominations or traditions are active in your language area?,descriptive,,1,,Descriptive — provides denominator for Q4.,
CHDL-Q4,Church,Denom-Leader,4,Church Involvement,How broadly are the denominations in your language area involved in this translation project?,ordinal-scored,100,1,,,
CHDL-Q5,Church,Denom-Leader,5,Church Involvement,How are church leaders using this translation in their ministry?,ordinal-scored,100,1,impact-use,,
CHDL-Q6,Church,Denom-Leader,6,Confidence in the Translation,How confident are you that the translation team followed a sound and robust translation process?,ordinal-scored,100,1,,,
CHDL-Q7,Church,Denom-Leader,7,Confidence in the Translation,How confident are you in the translation team's understanding of the meaning of the original text?,ordinal-scored,100,1,source-understanding,,
CHDL-Q8,Church,Denom-Leader,8,Affirmation,"Does this translation use language that is clear, natural, and understandable?",ordinal-scored,100,1,clarity-naturalness,,
CHDL-Q9,Church,Denom-Leader,9,Affirmation,Does this translation use language that is beautiful and appealing?,ordinal-scored,100,1,appeal,,
CHDL-Q10,Church,Denom-Leader,10,Affirmation,"In your judgment, is this translation ready to be distributed and used widely in church and community?",ordinal-scored,100,1,trust-readiness,,
CHCP-Q11,Church,Community-Pastor,11,Impact Observation,How often do you yourself use this translation?,ordinal-scored,100,1,,,
CHCP-Q12,Church,Community-Pastor,12,Impact Observation,Think of the people in your congregation who use the Scripture regularly. How does it impact their emotions?,ordinal-scored,100,1,impact-use,,
CHCP-Q13,Church,Community-Pastor,13,Impact Observation,Think of the people in your congregation who use the Scripture regularly. How does it impact their actions and choices?,ordinal-scored,100,1,impact-use,,
CHCP-Q14,Church,Community-Pastor,14,Impact Observation,Have you noticed any changes in your community since this translation has been available?,ordinal-scored,100,1,,,
ML-Q1,Translation Team,Mid-Level,1,Translation Process & Brief,Does the team have a translation brief or plan that defines what kind of translation they are aiming for?,ordinal-scored,100,1,translation-brief-alignment,,
ML-Q2,Translation Team,Mid-Level,2,Translation Process & Brief,"If the team has a brief, what type of translation does it describe?",descriptive,,1,translation-brief-alignment,"Descriptive — captures translation type (filter, not score). Triangulates with CHIP/CHCP/CHDL-Q1.",
ML-Q3,Translation Team,Mid-Level,3,Translation Process & Brief,"Before drafting, what does the team do to understand the meaning of the passage?",ordinal-scored,100,1,,,
ML-Q4,Translation Team,Mid-Level,4,Translation Process & Brief,What exegetical resources does the team use regularly?,multi-capability-scored,100,1,,Multi-select capability. Weights mirror TR-Q4.,
ML-Q5,Translation Team,Mid-Level,5,Translation Process & Brief,How does the team check draft work internally before moving to external review?,ordinal-scored,100,1,,,
ML-Q6,Translation Team,Mid-Level,6,Translation Process & Brief,How does the team gather feedback from community members on draft translations?,ordinal-scored,100,1,,Middle three options are different approaches at roughly equivalent quality — scored equal.,
ML-Q7,Translation Team,Mid-Level,7,Translation Process & Brief,How does the team capture and incorporate feedback from reviewers and community testing?,ordinal-scored,100,1,,,
ML-Q8,Translation Team,Mid-Level,8,Translation Process & Brief,How many rounds of revision does a typical passage go through before being considered complete?,ordinal-scored,100,1,,,
ML-Q10,Translation Team,Mid-Level,10,Understanding the Source,"When the team encounters a difficult exegetical question, what do they do?",multi-capability-scored,100,1,,Single-item indicator only — ML-Q9 excluded. Does not meet the >=2-item reportable sub-dimension threshold.,true
ML-Q11,Translation Team,Mid-Level,11,External Review,Is there someone who was not closely involved in the drafting who reviews the translation work?,ordinal-scored,100,1,,,
ML-Q12,Translation Team,Mid-Level,12,External Review,Who is typically the person outside the team who reviews the work?,multi-capability-scored,100,1,,Multi-select capability. Trained consultant weighted highest.,
ML-Q13,Translation Team,Mid-Level,13,Consistency,How does the team manage consistency of key terms and proper names across the translation?,ordinal-scored,100,1,consistency,,
ML-Q14,Translation Team,Mid-Level,14,Consistency,What tools or software does the team use to help manage consistency?,multi-capability-scored,100,1,,Multi-select capability. 'They don't use any' is exclusion — sets score to 0.,
ML-Q15,Translation Team,Mid-Level,15,Governance,How is the translation project managed?,ordinal-scored,100,1,,,
ML-Q16,Translation Team,Mid-Level,16,Governance,Who provides oversight or accountability for the quality of the translation?,multi-capability-scored,100,1,,Multi-select capability. 'No one outside the team' is exclusion.,
ML-Q17,Translation Team,Mid-Level,17,Governance,How does the team decide when a translated passage or book is finished and ready for publication?,ordinal-scored,100,1,,,
