item_id,option_order,option_text,option_code,score (0-100),weight,flag,notes
TR-Q14,2,A shared spreadsheet or document glossary,shared-glossary,,2,,
TR-Q14,3,A printed reference list,printed-list,,1,,
TR-Q14,4,We don't use any specific tools for this,no-tools,,0,exclusion,"If checked, item score = 0 regardless of others."
TR-Q14,5,Other (please describe),other,,1,other,
TR-Q15,1,"We have a formal project plan with timelines, roles, and accountability structures",formal-plan,100,,,
TR-Q15,2,We have an informal plan that the team follows,informal-plan,67,,,
TR-Q15,3,The project leader or coordinator manages things as needed,ad-hoc,33,,,
TR-Q15,4,We don't have a specific management structure,none,0,,,
TR-Q15,5,Other (please describe),other,,,missing,
TR-Q16,1,A translation consultant or advisor,consultant,,3,,
TR-Q16,2,A church committee or board,church-board,,2,,
TR-Q16,3,An organizational supervisor or project manager,org-supervisor,,2,,
TR-Q16,4,The translation team itself,team-self,,1,,
TR-Q16,5,No one outside the team provides oversight,no-outside,,0,exclusion,"If checked, item score = 0 regardless of others."
TR-Q16,6,Other (please describe),other,,1,other,
TR-Q17,1,We follow a formal approval process with defined criteria and sign-off from multiple parties,formal-multi-signoff,100,,,
TR-Q17,2,The translation consultant or advisor gives final approval,consultant-signoff,75,,,
TR-Q17,3,The team discusses and reaches consensus that it is ready,team-consensus,50,,,
TR-Q17,4,The project leader or coordinator makes the final decision,leader-decides,25,,,
TR-Q17,5,We don't have a clear process for determining when something is finished,no-process,0,,,
TR-Q17,6,Other (please describe),other,,,missing,
CW-Q1,1,Very easy to understand,very-easy,100,,,
CW-Q1,2,"Most of it is easy, but some parts are hard",mostly-easy,67,,,
CW-Q1,3,Much of it is difficult to understand,much-difficult,33,,,
CW-Q1,4,We cannot understand it,cannot,0,,,
CW-Q2,1,Some words are unfamiliar or strange,unfamiliar-words,,,problem,Each checked subtracts from score.
CW-Q2,2,Some sentences are too long or complicated,long-sentences,,,problem,
CW-Q2,3,It is not our dialect,wrong-dialect,,,problem,
CW-Q2,4,It doesn't sound like the way we normally speak,unnatural-speech,,,problem,
CW-Q2,5,Other (please describe),other,,,other-problem,Counts as a problem if it describes a new issue.
CW-Q3,1,It sounds like our language — natural and beautiful,natural-beautiful,100,,,
CW-Q3,2,"Some parts sound good, some parts don't sound that good",mixed,67,,,
CW-Q3,3,It does not sound very good. This is not how our language sounds.,not-good,33,,,
CW-Q3,4,This is not our dialect,wrong-dialect,0,,,
CA-Q1,1,Very easy to understand,very-easy,100,,,
CA-Q1,2,"Most of it is easy, but some parts are hard",mostly-easy,67,,,
CA-Q1,3,Much of it is difficult to understand,much-difficult,33,,,
CA-Q1,4,We cannot understand it,cannot,0,,,
CA-Q2,1,Some words are unfamiliar or strange,unfamiliar-words,,,problem,Each checked subtracts from score.
CA-Q2,2,Some sentences are too long or complicated,long-sentences,,,problem,
CA-Q2,3,It is not our dialect,wrong-dialect,,,problem,
CA-Q2,4,It doesn't sound like the way we normally speak,unnatural-speech,,,problem,
CA-Q2,5,Other (please describe),other,,,other-problem,Counts as a problem if it describes a new issue.
CA-Q3,1,It sounds like our language — natural and beautiful,natural-beautiful,100,,,
CA-Q3,2,"Some parts sound good, some parts don't sound that good",mixed,67,,,
CA-Q3,3,It does not sound very good. This is not how our language sounds.,not-good,33,,,
CA-Q3,4,This is not our dialect,wrong-dialect,0,,,
CV-Q1,1,Very easy to understand,very-easy,100,,,
CV-Q1,2,"Most of it is easy, but some parts are hard",mostly-easy,67,,,
CV-Q1,3,Much of it is difficult to understand,much-difficult,33,,,
CV-Q1,4,We cannot understand it,cannot,0,,,
CV-Q2,1,Some words are unfamiliar or strange,unfamiliar-words,,,problem,Each checked subtracts from score.
CV-Q2,2,Some sentences are too long or complicated,long-sentences,,,problem,
CV-Q2,3,It is not our dialect,wrong-dialect,,,problem,
CV-Q2,4,It doesn't sound like the way we normally speak,unnatural-speech,,,problem,
CV-Q2,5,Other (please describe),other,,,other-problem,Counts as a problem if it describes a new issue.
CV-Q3,1,It sounds like our language — natural and beautiful,natural-beautiful,100,,,
CV-Q3,2,"Some parts sound good, some parts don't sound that good",mixed,67,,,
CV-Q3,3,It does not sound very good. This is not how our language sounds.,not-good,33,,,
CV-Q3,4,This is not our dialect,wrong-dialect,0,,,
CW-Q4,1,We love it — it looks beautiful and represents our language and culture well,love-it,100,,,
CW-Q4,2,"Some things look good, some things we are not happy with",mixed,50,,,
CW-Q4,3,We do not like how it looks at all,dislike,0,,,
CW-Q4,4,Other (please describe),other,,,missing,
CW-Q5,1,We love it — it looks beautiful,love-it,100,,,
CW-Q5,2,"Some things look good, some things we are not happy with",mixed,50,,,
CW-Q5,3,We do not like how it looks at all,dislike,0,,,
CW-Q5,4,Other (please describe),other,,,missing,
CW-Q6,1,[Free text],open,,,open,Open text.
CA-Q4,1,We love it. It is clear and easy to understand,love-it,100,,,
CA-Q4,2,"It is not too good, not too bad",neutral,50,,,
CA-Q4,3,We do not like it at all,dislike,0,,,
CA-Q5,1,We love it! It makes it very interesting to listen to.,love-it,100,,,
CA-Q5,2,"It is not too good, not too bad",neutral,50,,,
CA-Q5,3,We do not like it at all.,dislike,0,,,
CA-Q6,1,[Free text],open,,,open,Open text.
CV-Q4,1,"We love it. They are clear, expressive, and easy to understand.",love-it,100,,,
CV-Q4,2,"It is not too good, not too bad.",neutral,50,,,
CV-Q4,3,We do not like it at all.,dislike,0,,,
CV-Q5,1,We love it! It really helps us understand better,love-it,100,,,
CV-Q5,2,"It is not too good, not too bad.",neutral,50,,,
CV-Q5,3,We do not like it at all.,dislike,0,,,
CV-Q6,1,[Free text],open,,,open,Open text.
CW-Q7,1,We use it every day,daily,100,,,
CW-Q7,2,We use it about 3 times per week,weekly-3x,67,,,
CW-Q7,3,We use it occasionally,occasional,33,,,
CW-Q7,4,We don't use it,never,0,,,
CW-Q8,1,At church,church,,1,,
CW-Q8,2,At home,home,,1,,
CW-Q8,3,In small groups or Bible studies,small-groups,,1,,
CW-Q8,4,In personal devotions,personal,,1,,
CW-Q8,5,Elsewhere,elsewhere,,1,,
CW-Q8,6,We don't use it,none,,0,exclusion,"If checked, score = 0."
CW-Q9,1,"Many of us have felt God's love, care, or conviction deeply through his word",deep-impact,100,,,
CW-Q9,2,"Sometimes we feel God's love, care, or conviction through his word, but not always",sometimes,50,,,
CW-Q9,3,It does not affect us very much,no-impact,0,,,
CW-Q10,1,Many of us have felt convicted and it has changed how we live our lives,changed-lives,100,,,
CW-Q10,2,"Sometimes we feel challenged to change, sometimes not",sometimes,50,,,
CW-Q10,3,It has not changed our lives,no-change,0,,,
CW-Q11,1,"Yes, we trust it completely — it is God's word in our language",trust-completely,100,,,
CW-Q11,2,"We mostly trust it, but we have some questions",mostly-trust,67,,,
CW-Q11,3,We are not sure if we trust it,not-sure,33,,,
CW-Q11,4,We do not trust it,no-trust,0,,,
CW-Q12,1,[Free text],open,,,open,Open text — theme-code only.
CW-Q13,1,[Free text],open,,,open,Open text — theme-code only.
CA-Q7,1,We use it every day,daily,100,,,
CA-Q7,2,We use it about 3 times per week,weekly-3x,67,,,
CA-Q7,3,We use it occasionally,occasional,33,,,
CA-Q7,4,We don't use it,never,0,,,
CA-Q8,1,At church,church,,1,,
CA-Q8,2,At home,home,,1,,
CA-Q8,3,In small groups or Bible studies,small-groups,,1,,
CA-Q8,4,In personal devotions,personal,,1,,
CA-Q8,5,Elsewhere,elsewhere,,1,,
CA-Q8,6,We don't use it,none,,0,exclusion,"If checked, score = 0."
CA-Q9,1,"Many of us have felt God's love, care, or conviction deeply through his word",deep-impact,100,,,
CA-Q9,2,"Sometimes we feel God's love, care, or conviction through his word, but not always",sometimes,50,,,
CA-Q9,3,It does not affect us very much,no-impact,0,,,
CA-Q10,1,Many of us have felt convicted and it has changed how we live our lives,changed-lives,100,,,
CA-Q10,2,"Sometimes we feel challenged to change, sometimes not",sometimes,50,,,
CA-Q10,3,It has not changed our lives,no-change,0,,,
CA-Q11,1,"Yes, we trust it completely — it is God's word in our language",trust-completely,100,,,
CA-Q11,2,"We mostly trust it, but we have some questions",mostly-trust,67,,,
CA-Q11,3,We are not sure if we trust it,not-sure,33,,,
CA-Q11,4,We do not trust it,no-trust,0,,,
CA-Q12,1,[Free text],open,,,open,Open text — theme-code only.
CA-Q13,1,[Free text],open,,,open,Open text — theme-code only.
CV-Q7,1,We use it every day,daily,100,,,
CV-Q7,2,We use it about 3 times per week,weekly-3x,67,,,
CV-Q7,3,We use it occasionally,occasional,33,,,
CV-Q7,4,We don't use it,never,0,,,
CV-Q8,1,At church,church,,1,,
CV-Q8,2,At home,home,,1,,
CV-Q8,3,In small groups or Bible studies,small-groups,,1,,
CV-Q8,4,In personal devotions,personal,,1,,
CV-Q8,5,Elsewhere,elsewhere,,1,,
CV-Q8,6,We don't use it,none,,0,exclusion,"If checked, score = 0."
CV-Q9,1,"Many of us have felt God's love, care, or conviction deeply through his word",deep-impact,100,,,
CV-Q9,2,"Sometimes we feel God's love, care, or conviction through his word, but not always",sometimes,50,,,
CV-Q9,3,It does not affect us very much,no-impact,0,,,
CV-Q10,1,Many of us have felt convicted and it has changed how we live our lives,changed-lives,100,,,
CV-Q10,2,"Sometimes we feel challenged to change, sometimes not",sometimes,50,,,
CV-Q10,3,It has not changed our lives,no-change,0,,,
CV-Q11,1,"Yes, we trust it completely — it is God's word in our language",trust-completely,100,,,
CV-Q11,2,"We mostly trust it, but we have some questions",mostly-trust,67,,,
CV-Q11,3,We are not sure if we trust it,not-sure,33,,,
CV-Q11,4,We do not trust it,no-trust,0,,,
CV-Q12,1,[Free text],open,,,open,Open text — theme-code only.
CV-Q13,1,[Free text],open,,,open,Open text — theme-code only.
CHCC-Q1,1,Highly confident,high,100,,,
CHCC-Q1,2,Moderately confident,moderate,50,,,
CHCC-Q1,3,Not very confident,low,0,,,
CHCC-Q1,4,I don't have enough information to say,dont-know,,,missing,Treat as missing.
CHCC-Q1,5,Other (please describe),other,,,missing,
CHCC-Q2,1,Highly confident,high,100,,,
CHCC-Q2,2,Moderately confident,moderate,50,,,
CHCC-Q2,3,Not very confident,low,0,,,
CHCC-Q2,4,I don't have enough information to say,dont-know,,,missing,Treat as missing.
CHCC-Q2,5,Other (please describe),other,,,missing,
CHCC-Q3,1,Highly confident,high,100,,,
CHCC-Q3,2,Moderately confident,moderate,50,,,
CHCC-Q3,3,Not very confident,low,0,,,
CHCC-Q3,4,I don't have enough information to say,dont-know,,,missing,Treat as missing.
CHCC-Q3,5,Other (please describe),other,,,missing,
CHCC-Q4,1,Highly confident,high,100,,,
CHCC-Q4,2,Moderately confident,moderate,50,,,
CHCC-Q4,3,Not very confident,low,0,,,
CHCC-Q4,4,I don't have enough information to say,dont-know,,,missing,Treat as missing.
CHCC-Q4,5,Other (please describe),other,,,missing,
CHCC-Q5,1,"Yes, we are ready to bless it for wide use",bless,100,,,
CHCC-Q5,2,"Yes, but with a few adjustments first",adjustments,50,,,
CHCC-Q5,3,Not yet — significant work remains,not-yet,0,,,
CHCC-Q5,4,Other (please describe),other,,,missing,
CHIP-Q1,1,Corresponding — very close to the original Greek or Hebrew,corresponding,,,descriptive,Triangulation only — compare with TR-Q2.
CHIP-Q1,2,Resembling — close to the original with some adjustments for clarity,resembling,,,descriptive,Triangulation only — compare with TR-Q2.
CHIP-Q1,3,Clarifying — focused on understandability in natural language,clarifying,,,descriptive,Triangulation only — compare with TR-Q2.
CHIP-Q1,4,"Simplifying — easy to understand, using contemporary everyday language",simplifying,,,descriptive,Triangulation only — compare with TR-Q2.
CHIP-Q1,5,We did not have a prior agreement on translation type,no-agreement,,,descriptive,Triangulation only — compare with TR-Q2.
CHIP-Q1,6,I am not aware of what type of translation the translators agreed upon,not-aware,,,descriptive,Triangulation only — compare with TR-Q2.
CHIP-Q1,7,Other (please describe),other,,,descriptive,Triangulation only — compare with TR-Q2.
CHIP-Q2,1,"Yes, it clearly reflects the agreed-upon translation type",clear-reflects,100,,,
CHIP-Q2,2,It partially reflects the agreed-upon type but drifts in places,partial-drifts,50,,,
CHIP-Q2,3,It does not reflect the agreed-upon type,does-not-reflect,0,,,
CHIP-Q2,4,We did not have a prior agreement so we cannot evaluate this,no-agreement,,,missing,Treat as missing.
CHIP-Q2,5,Other (please describe),other,,,missing,
CHIP-Q3,1,We have one denomination active in our language area,one,,,descriptive,Descriptive — provides denominator for Q4.
CHIP-Q3,2,We have several denominations active in our language area,several,,,descriptive,
CHIP-Q3,3,We have many denominations active in our language area,many,,,descriptive,
CHIP-Q3,4,Other (please describe),other,,,descriptive,
CHIP-Q4,1,All or nearly all denominations active in our language area are involved,all-nearly-all,100,,,
CHIP-Q4,2,About half of the denominations active in our language area are involved,half,67,,,
CHIP-Q4,3,Only one denomination is involved,one-only,33,,,
CHIP-Q4,4,We are not sure which denominations are involved,not-sure,,,missing,Treat as missing.
CHIP-Q4,5,Other (please describe),other,,,missing,
CHIP-Q5,1,Church leaders across multiple denominations are regularly using it in ministry,multi-denom-regular,100,,,
CHIP-Q5,2,"Some church leaders are using it regularly, others are not",some-regular,67,,,
CHIP-Q5,3,It is occasionally used by some church leaders,occasional,33,,,
CHIP-Q5,4,It is not yet being used in church ministry,none,0,,,
CHIP-Q5,5,Other (please describe),other,,,missing,
CHIP-Q6,1,Highly confident,high,100,,,
CHIP-Q6,2,Moderately confident,moderate,50,,,
CHIP-Q6,3,Not very confident,low,0,,,
CHIP-Q6,4,I don't have enough information to say,dont-know,,,missing,Treat as missing.
CHIP-Q6,5,Other (please describe),other,,,missing,
CHIP-Q7,1,Highly confident,high,100,,,
CHIP-Q7,2,Moderately confident,moderate,50,,,
CHIP-Q7,3,Not very confident,low,0,,,
CHIP-Q7,4,I don't have enough information to say,dont-know,,,missing,Treat as missing.
CHIP-Q7,5,Other (please describe),other,,,missing,
CHIP-Q8,1,"Yes, consistently throughout",consistent,100,,,
CHIP-Q8,2,"In most places, but not all",most,67,,,
CHIP-Q8,3,"In some places, but not consistently",some,33,,,
CHIP-Q8,4,"No, it is generally unclear or unnatural",no,0,,,
CHIP-Q8,5,Other (please describe),other,,,missing,
CHIP-Q9,1,"Yes, consistently throughout",consistent,100,,,
CHIP-Q9,2,"In most places, but not all",most,67,,,
CHIP-Q9,3,"In some places, but not consistently",some,33,,,
CHIP-Q9,4,No,no,0,,,
CHIP-Q9,5,Other (please describe),other,,,missing,
CHIP-Q10,1,"Yes, we are ready to bless it for wide use",bless,100,,,
CHIP-Q10,2,"Yes, but with a few adjustments first",adjustments,50,,,
CHIP-Q10,3,Not yet — significant work remains,not-yet,0,,,
CHIP-Q10,4,Other (please describe),other,,,missing,
CHCP-Q1,1,Corresponding — very close to the original Greek or Hebrew,corresponding,,,descriptive,Triangulation only — compare with TR-Q2.
CHCP-Q1,2,Resembling — close to the original with some adjustments for clarity,resembling,,,descriptive,Triangulation only — compare with TR-Q2.
CHCP-Q1,3,Clarifying — focused on understandability in natural language,clarifying,,,descriptive,Triangulation only — compare with TR-Q2.
CHCP-Q1,4,"Simplifying — easy to understand, using contemporary everyday language",simplifying,,,descriptive,Triangulation only — compare with TR-Q2.
CHCP-Q1,5,We did not have a prior agreement on translation type,no-agreement,,,descriptive,Triangulation only — compare with TR-Q2.
CHCP-Q1,6,I am not aware of what type of translation the translators agreed upon,not-aware,,,descriptive,Triangulation only — compare with TR-Q2.
CHCP-Q1,7,Other (please describe),other,,,descriptive,Triangulation only — compare with TR-Q2.
CHCP-Q2,1,"Yes, it clearly reflects the agreed-upon translation type",clear-reflects,100,,,
CHCP-Q2,2,It partially reflects the agreed-upon type but drifts in places,partial-drifts,50,,,
CHCP-Q2,3,It does not reflect the agreed-upon type,does-not-reflect,0,,,
CHCP-Q2,4,We did not have a prior agreement so we cannot evaluate this,no-agreement,,,missing,Treat as missing.
CHCP-Q2,5,Other (please describe),other,,,missing,
CHCP-Q3,1,We have one denomination active in our language area,one,,,descriptive,Descriptive — provides denominator for Q4.
CHCP-Q3,2,We have several denominations active in our language area,several,,,descriptive,
CHCP-Q3,3,We have many denominations active in our language area,many,,,descriptive,
CHCP-Q3,4,Other (please describe),other,,,descriptive,
CHCP-Q4,1,All or nearly all denominations active in our language area are involved,all-nearly-all,100,,,
CHCP-Q4,2,About half of the denominations active in our language area are involved,half,67,,,
CHCP-Q4,3,Only one denomination is involved,one-only,33,,,
CHCP-Q4,4,We are not sure which denominations are involved,not-sure,,,missing,Treat as missing.
CHCP-Q4,5,Other (please describe),other,,,missing,
CHCP-Q5,1,Church leaders across multiple denominations are regularly using it in ministry,multi-denom-regular,100,,,
CHCP-Q5,2,"Some church leaders are using it regularly, others are not",some-regular,67,,,
CHCP-Q5,3,It is occasionally used by some church leaders,occasional,33,,,
CHCP-Q5,4,It is not yet being used in church ministry,none,0,,,
CHCP-Q5,5,Other (please describe),other,,,missing,
CHCP-Q6,1,Highly confident,high,100,,,
CHCP-Q6,2,Moderately confident,moderate,50,,,
CHCP-Q6,3,Not very confident,low,0,,,
CHCP-Q6,4,I don't have enough information to say,dont-know,,,missing,Treat as missing.
CHCP-Q6,5,Other (please describe),other,,,missing,
CHCP-Q7,1,Highly confident,high,100,,,
CHCP-Q7,2,Moderately confident,moderate,50,,,
CHCP-Q7,3,Not very confident,low,0,,,
CHCP-Q7,4,I don't have enough information to say,dont-know,,,missing,Treat as missing.
CHCP-Q7,5,Other (please describe),other,,,missing,
CHCP-Q8,1,"Yes, consistently throughout",consistent,100,,,
CHCP-Q8,2,"In most places, but not all",most,67,,,
CHCP-Q8,3,"In some places, but not consistently",some,33,,,
CHCP-Q8,4,"No, it is generally unclear or unnatural",no,0,,,
CHCP-Q8,5,Other (please describe),other,,,missing,
CHCP-Q9,1,"Yes, consistently throughout",consistent,100,,,
CHCP-Q9,2,"In most places, but not all",most,67,,,
CHCP-Q9,3,"In some places, but not consistently",some,33,,,
CHCP-Q9,4,No,no,0,,,
CHCP-Q9,5,Other (please describe),other,,,missing,
CHCP-Q10,1,"Yes, we are ready to bless it for wide use",bless,100,,,
CHCP-Q10,2,"Yes, but with a few adjustments first",adjustments,50,,,
CHCP-Q10,3,Not yet — significant work remains,not-yet,0,,,
CHCP-Q10,4,Other (please describe),other,,,missing,
CHDL-Q1,1,Corresponding — very close to the original Greek or Hebrew,corresponding,,,descriptive,Triangulation only — compare with TR-Q2.
CHDL-Q1,2,Resembling — close to the original with some adjustments for clarity,resembling,,,descriptive,Triangulation only — compare with TR-Q2.
CHDL-Q1,3,Clarifying — focused on understandability in natural language,clarifying,,,descriptive,Triangulation only — compare with TR-Q2.
CHDL-Q1,4,"Simplifying — easy to understand, using contemporary everyday language",simplifying,,,descriptive,Triangulation only — compare with TR-Q2.
CHDL-Q1,5,We did not have a prior agreement on translation type,no-agreement,,,descriptive,Triangulation only — compare with TR-Q2.
CHDL-Q1,6,I am not aware of what type of translation the translators agreed upon,not-aware,,,descriptive,Triangulation only — compare with TR-Q2.
CHDL-Q1,7,Other (please describe),other,,,descriptive,Triangulation only — compare with TR-Q2.
CHDL-Q2,1,"Yes, it clearly reflects the agreed-upon translation type",clear-reflects,100,,,
CHDL-Q2,2,It partially reflects the agreed-upon type but drifts in places,partial-drifts,50,,,
CHDL-Q2,3,It does not reflect the agreed-upon type,does-not-reflect,0,,,
CHDL-Q2,4,We did not have a prior agreement so we cannot evaluate this,no-agreement,,,missing,Treat as missing.
CHDL-Q2,5,Other (please describe),other,,,missing,
CHDL-Q3,1,We have one denomination active in our language area,one,,,descriptive,Descriptive — provides denominator for Q4.
CHDL-Q3,2,We have several denominations active in our language area,several,,,descriptive,
CHDL-Q3,3,We have many denominations active in our language area,many,,,descriptive,
CHDL-Q3,4,Other (please describe),other,,,descriptive,
CHDL-Q4,1,All or nearly all denominations active in our language area are involved,all-nearly-all,100,,,
CHDL-Q4,2,About half of the denominations active in our language area are involved,half,67,,,
CHDL-Q4,3,Only one denomination is involved,one-only,33,,,
CHDL-Q4,4,We are not sure which denominations are involved,not-sure,,,missing,Treat as missing.
CHDL-Q4,5,Other (please describe),other,,,missing,
CHDL-Q5,1,Church leaders across multiple denominations are regularly using it in ministry,multi-denom-regular,100,,,
CHDL-Q5,2,"Some church leaders are using it regularly, others are not",some-regular,67,,,
CHDL-Q5,3,It is occasionally used by some church leaders,occasional,33,,,
CHDL-Q5,4,It is not yet being used in church ministry,none,0,,,
CHDL-Q5,5,Other (please describe),other,,,missing,
CHDL-Q6,1,Highly confident,high,100,,,
CHDL-Q6,2,Moderately confident,moderate,50,,,
CHDL-Q6,3,Not very confident,low,0,,,
CHDL-Q6,4,I don't have enough information to say,dont-know,,,missing,Treat as missing.
CHDL-Q6,5,Other (please describe),other,,,missing,
CHDL-Q7,1,Highly confident,high,100,,,
CHDL-Q7,2,Moderately confident,moderate,50,,,
CHDL-Q7,3,Not very confident,low,0,,,
CHDL-Q7,4,I don't have enough information to say,dont-know,,,missing,Treat as missing.
CHDL-Q7,5,Other (please describe),other,,,missing,
CHDL-Q8,1,"Yes, consistently throughout",consistent,100,,,
CHDL-Q8,2,"In most places, but not all",most,67,,,
CHDL-Q8,3,"In some places, but not consistently",some,33,,,
CHDL-Q8,4,"No, it is generally unclear or unnatural",no,0,,,
CHDL-Q8,5,Other (please describe),other,,,missing,
CHDL-Q9,1,"Yes, consistently throughout",consistent,100,,,
CHDL-Q9,2,"In most places, but not all",most,67,,,
CHDL-Q9,3,"In some places, but not consistently",some,33,,,
CHDL-Q9,4,No,no,0,,,
CHDL-Q9,5,Other (please describe),other,,,missing,
CHDL-Q10,1,"Yes, we are ready to bless it for wide use",bless,100,,,
CHDL-Q10,2,"Yes, but with a few adjustments first",adjustments,50,,,
CHDL-Q10,3,Not yet — significant work remains,not-yet,0,,,
CHDL-Q10,4,Other (please describe),other,,,missing,
CHCP-Q11,1,I use it every day and preach from it,daily-preach,100,,,
CHCP-Q11,2,I use a mix of the vernacular and the national language translations in my ministry,mixed,50,,,
CHCP-Q11,3,I only use the national language translation in my ministry,national-only,0,,,
CHCP-Q12,1,"I have heard many testimonies that they feel God's love, care, or conviction deeply through his word",many-testimonies,100,,,
CHCP-Q12,2,"Some of them have shared that they feel God's love, care, or conviction through his word, but not too many",some-share,50,,,
CHCP-Q12,3,This translation does not seem to be affecting them very much,no-effect,0,,,
CHCP-Q13,1,I have seen many people change their lives in response to God's word,many-change,100,,,
CHCP-Q13,2,I have seen a few people change their lives in response to God's word,few-change,50,,,
CHCP-Q13,3,This translation does not seem to be affecting their actions and choices very much,no-effect,0,,,
